date_time,result,view,curved_MEAS,record_path
2022/09/08T13:18:45,NG,Cam1,4.94mm,record\20220908\record_logs.csv
2022/09/08T13:18:46,NG,Cam2,8.0mm,record\20220908\record_logs.csv
