date_time,result,view,curved_MEAS,record_path
2022/09/12T14:03:55,NG,Cam1,4.04mm,record\20220912\record_logs.csv
2022/09/12T14:05:02,init,Cam1,0mm,record\20220912\record_logs.csv
2022/09/12T14:05:03,NG,Cam2,8.0mm,record\20220912\record_logs.csv
2022/09/12T14:09:04,init,Cam1,0mm,record\20220912\record_logs.csv
2022/09/12T14:09:04,NG,Cam2,8.0mm,record\20220912\record_logs.csv
2022/09/12T15:10:36,NG,Cam2,5.84mm,record\20220912\record_logs.csv
2022/09/12T15:10:37,init,Cam1,0mm,record\20220912\record_logs.csv
2022/09/12T15:10:48,init,Cam1,0mm,record\20220912\record_logs.csv
2022/09/12T15:10:49,NG,Cam2,8.0mm,record\20220912\record_logs.csv
2022/09/12T15:10:55,init,Cam1,0mm,record\20220912\record_logs.csv
2022/09/12T15:10:56,NG,Cam2,8.54mm,record\20220912\record_logs.csv
2022/09/12T15:12:08,init,Cam1,0mm,record\20220912\record_logs.csv
2022/09/12T15:12:56,init,Cam1,0mm,record\20220912\record_logs.csv
2022/09/12T15:22:10,init,Cam1,0mm,record\20220912\record_logs.csv
2022/09/12T15:22:12,init,Cam2,0mm,record\20220912\record_logs.csv
2022/09/12T15:22:27,init,Cam2,0mm,record\20220912\record_logs.csv
2022/09/12T15:22:32,init,Cam2,0mm,record\20220912\record_logs.csv
2022/09/12T15:35:14,init,Cam1,0mm,record\20220912\record_logs.csv
2022/09/12T15:35:24,init,Cam1,0mm,record\20220912\record_logs.csv
2022/09/12T15:35:24,init,Cam2,0mm,record\20220912\record_logs.csv
2022/09/12T16:01:02,init,Cam1,0mm,record\20220912\record_logs.csv
2022/09/12T16:01:14,init,Cam1,0mm,record\20220912\record_logs.csv
2022/09/12T16:01:22,init,Cam1,0mm,record\20220912\record_logs.csv
2022/09/12T17:33:00,init,Cam2,0mm,record\20220912\record_logs.csv
2022/09/12T17:36:07,init,Cam2,0mm,record\20220912\record_logs.csv
2022/09/12T17:36:21,init,Cam1,0mm,record\20220912\record_logs.csv
2022/09/12T17:36:22,init,Cam2,0mm,record\20220912\record_logs.csv
2022/09/12T17:36:29,init,Cam1,0mm,record\20220912\record_logs.csv
